"","case_number","to_pay","paid","balance"
"164","19-008843-co"," 195.00"," 195.00","0.00"
"165","19-008846-co"," 195.00"," 195.00","0.00"
"166","19-008847-co"," 195.00"," 195.00","0.00"
"167","19-008848-co"," 195.00"," 195.00","0.00"
"168","19-008849-co"," 195.00"," 195.00","0.00"
"169","19-008850-co"," 195.00"," 195.00","0.00"
"170","19-008851-co"," 195.00"," 195.00","0.00"
"171","19-008852-co"," 195.00"," 195.00","0.00"
"172","19-008853-co"," 205.00"," 205.00","0.00"
"173","19-008854-co"," 195.00"," 195.00","0.00"
"174","19-008855-co"," 195.00"," 195.00","0.00"
"175","19-008856-co"," 215.00"," 215.00","0.00"
"176","19-008858-co"," 195.00"," 195.00","0.00"
"177","19-008859-co"," 195.00"," 195.00","0.00"
"178","19-008860-co"," 195.00"," 195.00","0.00"
"179","19-008862-co"," 195.00"," 195.00","0.00"
"180","19-008863-co"," 195.00"," 195.00","0.00"
"181","19-008864-co"," 0.60"," 0.60","0.00"
"182","19-008865-co"," 205.00"," 205.00","0.00"
"183","19-008866-co"," 195.00"," 195.00","0.00"
"184","19-008867-co"," 195.00"," 195.00","0.00"
"185","19-008869-co"," 205.00"," 205.00","0.00"
"186","19-008872-co"," 205.00"," 205.00","0.00"
"187","19-008873-co"," 208.50"," 208.50","0.00"
"188","19-008877-co"," 195.00"," 195.00","0.00"
"189","19-008878-co"," 195.00"," 195.00","0.00"
"190","19-008879-co"," 205.00"," 205.00","0.00"
"191","19-008880-co"," 195.00"," 195.00","0.00"
"192","19-008882-co"," 195.00"," 195.00","0.00"
"193","19-008883-co"," 195.00"," 195.00","0.00"
"194","19-008884-co"," 205.00"," 205.00","0.00"
"195","19-008885-co"," 205.00"," 205.00","0.00"
"196","19-008886-co"," 195.00"," 195.00","0.00"
"197","19-008840-co"," 205.00"," 205.00","0.00"
"198","19-008841-co"," 205.00"," 205.00","0.00"
"199","19-008881-co"," 195.00"," 195.00","0.00"
"200","19-008802-co"," 205.00"," 205.00","0.00"
"201","19-008803-co"," 195.00"," 195.00","0.00"
