"","case_number","to_pay","paid","balance"
"112","19-007082-co"," 195.00"," 195.00","0.00"
"113","19-007083-co"," 195.00"," 195.00","0.00"
"114","19-007084-co"," 205.00"," 205.00","0.00"
"115","19-007085-co"," 0.15"," 0.15","0.00"
"116","19-007086-co"," 205.00"," 205.00","0.00"
"117","19-007087-co"," 195.00"," 195.00","0.00"
"118","19-007088-co"," 195.00"," 195.00","0.00"
"119","19-007089-co"," 195.00"," 195.00","0.00"
"120","19-007090-co"," 195.00"," 195.00","0.00"
"121","19-007091-co"," 195.00"," 195.00","0.00"
"122","19-007092-co"," 195.00"," 195.00","0.00"
"123","19-007093-co"," 195.00"," 195.00","0.00"
"124","19-007094-co"," 0.69"," 0.69","0.00"
"125","19-007095-co"," 0.30"," 0.30","0.00"
"126","19-007096-co"," 205.00"," 205.00","0.00"
"127","19-007097-co"," 195.00"," 195.00","0.00"
"128","19-007100-co"," 205.00"," 205.00","0.00"
"129","19-007046-co"," 310.69"," 310.69","0.00"
"130","19-007049-co"," 226.02"," 226.02","0.00"
"131","19-007051-co"," 196.05"," 196.05","0.00"
"132","19-007052-co"," 195.00"," 195.00","0.00"
"133","19-007053-co"," 195.00"," 195.00","0.00"
"134","19-007054-co"," 216.14"," 216.14","0.00"
"135","19-007055-co"," 205.00"," 205.00","0.00"
"136","19-007056-co"," 227.77"," 227.77","0.00"
"137","19-007057-co"," 205.00"," 205.00","0.00"
"138","19-007058-co"," 225.00"," 225.00","0.00"
"139","19-007059-co"," 205.00"," 205.00","0.00"
"140","19-007060-co"," 195.00"," 195.00","0.00"
"141","19-007045-co"," 215.00"," 215.00","0.00"
"142","19-006999-co"," 215.00"," 215.00","0.00"
"143","19-007005-co"," 9.45"," 9.45","0.00"
"144","19-007006-co"," 205.00"," 205.00","0.00"
"145","19-007007-co"," 205.00"," 205.00","0.00"
"146","19-007008-co"," 199.19"," 199.19","0.00"
"147","19-007011-co"," 215.00"," 215.00","0.00"
"148","19-007012-co"," 0.60"," 0.60","0.00"
"149","19-007013-co"," 198.00"," 198.00","0.00"
"150","19-007015-co"," 40.65"," 34.65","6.00"
"151","19-007017-co"," 215.97"," 215.97","0.00"
"152","19-007019-co"," 198.50"," 198.50","0.00"
"153","19-007024-co"," 205.00"," 205.00","0.00"
"154","19-007025-co"," 195.00"," 195.00","0.00"
"155","19-007026-co"," 195.00"," 195.00","0.00"
"156","19-007027-co"," 195.00"," 195.00","0.00"
"157","19-007028-co"," 195.00"," 195.00","0.00"
"158","19-007029-co"," 205.00"," 205.00","0.00"
"159","19-007030-co"," 195.00"," 195.00","0.00"
